Index,Name,Unprescaled,335b_AllMB,335b_AllMB_UPC40k
353,L1_ZDC16_AND ,1,0,0
354,L1_ZDC16_AND_BptxAND ,1,0,0
355,L1_ZDC16_OR ,1,0,0
356,L1_ZDC16_OR_BptxAND ,1,0,0
357,L1_ZDCP18 ,1,0,0
358,L1_ZDCP18_BptxAND ,1,0,0
359,L1_ZDCM18 ,1,0,0
360,L1_ZDCM18_BptxAND ,1,0,0
361,L1_ZDC18_AND ,1,0,0
362,L1_ZDC18_AND_BptxAND ,1,0,0
363,L1_ZDC18_OR ,1,0,0
364,L1_ZDC18_OR_BptxAND ,1,0,0
365,L1_ZDCP22 ,1,0,0
366,L1_ZDCP22_BptxAND ,1,0,0
367,L1_ZDCM22 ,1,0,0
368,L1_ZDCM22_BptxAND ,1,0,0
369,L1_ZDC22_AND ,1,0,0
370,L1_ZDC22_AND_BptxAND ,1,0,0
371,L1_ZDC22_OR ,1,0,0
372,L1_ZDC22_OR_BptxAND ,1,0,0
373,L1_ZDCP28 ,1,0,0
374,L1_ZDCP28_BptxAND ,1,0,0
375,L1_ZDCM28 ,1,0,0
376,L1_ZDCM28_BptxAND ,1,0,0
377,L1_ZDC28_AND ,1,0,0
378,L1_ZDC28_AND_BptxAND ,1,0,0
379,L1_ZDC28_OR ,1,0,0
380,L1_ZDC28_OR_BptxAND ,1,0,0
381,L1_ZDC1n_AND_AND_NotMBHF2_BptxAND ,1,53,0
382,L1_ZDC1n_AND_AND_NotMBHF2OR_BptxAND ,1,0,0
383,L1_SingleJet8_ZDC1n_XOR_NotPreBptx_BptxAND ,1,0,0
384,L1_SingleJet8_ZDC1n_AsymXOR_NotPreBptx_BptxAND ,1,0,0
385,L1_SingleJet12_ZDC1n_XOR_NotPreBptx_BptxAND ,1,0,0
386,L1_SingleJet12_ZDC1n_AsymXOR_NotPreBptx_BptxAND ,1,0,0
387,L1_SingleJet16_ZDC1n_XOR_NotPreBptx_BptxAND ,1,0,0
388,L1_SingleJet16_ZDC1n_AsymXOR_NotPreBptx_BptxAND ,1,0,0
389,L1_SingleJet20_ZDC1n_XOR_NotPreBptx_BptxAND ,1,0,0
390,L1_SingleJet20_ZDC1n_AsymXOR_NotPreBptx_BptxAND ,1,0,0
391,L1_SingleJet24_ZDC1n_XOR_NotPreBptx_BptxAND ,1,0,0
392,L1_SingleJet24_ZDC1n_AsymXOR_NotPreBptx_BptxAND ,1,0,0
393,L1_SingleJet28_ZDC1n_XOR_NotPreBptx_BptxAND ,1,0,0
394,L1_SingleJet28_ZDC1n_AsymXOR_NotPreBptx_BptxAND ,1,0,0
395,L1_SingleUncorrJet2_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
396,L1_SingleUncorrJet4_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
397,L1_SingleUncorrJet6_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
398,L1_SingleUncorrJet8_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
