Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers
265,L1_SingleJet24_ZDC1n_OR,0,0,0,0,0,0,0
266,L1_SingleJet24_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
267,L1_SingleJet24_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
268,L1_SingleJet28_ZDC1n_OR,0,0,0,0,0,0,0
269,L1_SingleJet28_ZDC1n_Bkp1_OR,0,0,0,0,0,0,0
270,L1_SingleJet28_ZDC1n_Bkp2_OR,0,0,0,0,0,0,0
271,L1_ZDCP14,0,0,0,0,0,0,0
272,L1_ZDCM14,0,0,0,0,0,0,0
273,L1_ZDC14_AND,0,0,0,0,0,0,0
274,L1_ZDC14_OR,0,0,0,0,0,0,0
275,L1_ZDCP16,0,0,0,0,0,0,0
276,L1_ZDCM16,0,0,0,0,0,0,0
277,L1_ZDC16_AND,0,0,0,0,0,0,0
278,L1_ZDC16_OR,0,0,0,0,0,0,0
279,L1_ZDCP18,0,0,0,0,0,0,0
280,L1_ZDCM18,0,0,0,0,0,0,0
281,L1_ZDC18_AND,0,0,0,0,0,0,0
282,L1_ZDC18_OR,0,0,0,0,0,0,0
283,L1_ZDCP22,0,0,0,0,0,0,0
284,L1_ZDCM22,0,0,0,0,0,0,0
285,L1_ZDC22_AND,0,0,0,0,0,0,0
286,L1_ZDC22_OR,0,0,0,0,0,0,0
287,L1_ZDCP28,0,0,0,0,0,0,0
288,L1_ZDCM28,0,0,0,0,0,0,0
289,L1_ZDC28_AND,0,0,0,0,0,0,0
290,L1_ZDC28_OR,0,0,0,0,0,0,0
291,L1_SingleJet28_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
292,L1_SingleJet24_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
293,L1_SingleJet20_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
294,L1_SingleJet12_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
295,L1_SingleJet16_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
297,L1_SingleJet8_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
298,L1_ZDC1n_Bkp3_OR,0,0,0,0,0,0,0
300,L1_SingleJet28_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
301,L1_SingleJet24_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
302,L1_SingleJet20_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
303,L1_SingleJet16_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
304,L1_SingleJet12_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
305,L1_SingleJet8_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
306,L1_ZDC1n_Bkp3_AsymXOR,0,0,0,0,0,0,0
307,L1_SingleUncorrJet2,0,0,0,0,0,0,0
308,L1_SingleUncorrJet4,0,0,0,0,0,0,0
309,L1_SingleUncorrJet6,0,0,0,0,0,0,0
310,L1_SingleUncorrJet8,0,0,0,0,0,0,0
311,L1_SingleUncorrJet12,0,0,0,0,0,0,0
312,L1_SingleUncorrJet16,0,0,0,0,0,0,0
313,L1_SingleUncorrJet20,0,0,0,0,0,0,0
314,L1_SingleUncorrJet24,0,0,0,0,0,0,0
315,L1_SingleUncorrJet28,0,0,0,0,0,0,0
316,L1_DoubleUncorrJet2_dPhi2p0,0,0,0,0,0,0,0
317,L1_DoubleUncorrJet4_dPhi2p0,0,0,0,0,0,0,0
318,L1_DoubleUncorrJet6_dPhi2p0,0,0,0,0,0,0,0
319,L1_DoubleUncorrJet8_dPhi2p0,0,0,0,0,0,0,0
320,L1_DoubleUncorrJet12_dPhi2p0,0,0,0,0,0,0,0
321,L1_DoubleUncorrJet16_dPhi2p0,0,0,0,0,0,0,0
322,L1_SingleUncorrJet2_ZDC1nOR,0,0,0,0,0,0,0
323,L1_SingleUncorrJet4_ZDC1nOR,0,0,0,0,0,0,0
