Index,Name,Unprescaled
235,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th1_OR_BptxAND,1
236,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th2_OR_BptxAND,1
237,L1_DoubleJet16_DeltaPhi2p0_NotUPCZDC1n_Th3_OR_BptxAND,1
238,L1_DoubleJet8_DeltaPhi2p0_UPCZDC1n_Th1_XOR_BptxAND,1
239,L1_DoubleJet12_DeltaPhi2p0_UPCZDC1n_Th1_XOR_BptxAND,1
240,L1_DoubleJet16_DeltaPhi2p0_UPCZDC1n_Th1_XOR_BptxAND,1
241,L1_DoubleJet8_DeltaPhi2p0_UPCZDC1n_Th2_XOR_BptxAND,1
242,L1_DoubleJet12_DeltaPhi2p0_UPCZDC1n_Th2_XOR_BptxAND,1
243,L1_DoubleJet16_DeltaPhi2p0_UPCZDC1n_Th2_XOR_BptxAND,1
244,L1_DoubleJet8_DeltaPhi2p0_UPCZDC1n_Th3_XOR_BptxAND,1
245,L1_DoubleJet12_DeltaPhi2p0_UPCZDC1n_Th3_XOR_BptxAND,1
246,L1_DoubleJet16_DeltaPhi2p0_UPCZDC1n_Th3_XOR_BptxAND,1
247,L1_UPCZDC1n_Th1_OR_BptxAND,1
248,L1_UPCZDC1n_Th2_OR_BptxAND,1
249,L1_UPCZDC1n_Th3_OR_BptxAND,1
250,L1_UPCZDC1n_Th1_AND_NotMinimumBiasHF2_BptxAND,1
251,L1_UPCZDC1n_Th2_AND_NotMinimumBiasHF2_BptxAND,1
252,L1_UPCZDC1n_Th3_AND_NotMinimumBiasHF2_BptxAND,1
253,L1_UPCZDC1n_Th1_XOR_MinimumBiasHF1_AND_BptxAND,1
254,L1_UPCZDC1n_Th2_XOR_MinimumBiasHF1_AND_BptxAND,1
255,L1_UPCZDC1n_Th3_XOR_MinimumBiasHF1_AND_BptxAND,1
256,L1_UPCZDC1n_Th4_XOR_MinimumBiasHF1_AND_BptxAND,1
257,L1_UPCZDC1n_Th1_XOR_MinimumBiasHF2_AND_BptxAND,1
258,L1_UPCZDC1n_Th2_XOR_MinimumBiasHF2_AND_BptxAND,1
259,L1_UPCZDC1n_Th3_XOR_MinimumBiasHF2_AND_BptxAND,1
260,L1_UPCZDC1n_Th4_XOR_MinimumBiasHF2_AND_BptxAND,1
261,L1_UPCZDC1n_Th1_XOR_MinimumBiasHF1_OR_SameSide_BptxAND,1
262,L1_UPCZDC1n_Th2_XOR_MinimumBiasHF1_OR_SameSide_BptxAND,1
263,L1_UPCZDC1n_Th3_XOR_MinimumBiasHF1_OR_SameSide_BptxAND,1
264,L1_UPCZDC1n_Th1_XOR_MinimumBiasHF2_OR_SameSide_BptxAND,1
265,L1_UPCZDC1n_Th2_XOR_MinimumBiasHF2_OR_SameSide_BptxAND,1
266,L1_UPCZDC1n_Th3_XOR_MinimumBiasHF2_OR_SameSide_BptxAND,1
267,L1_UPCZDC1n_Th1_XOR_MinimumBiasHF1_AsymXOR_SameSide_BptxAND,1
268,L1_UPCZDC1n_Th2_XOR_MinimumBiasHF1_AsymXOR_SameSide_BptxAND,1
269,L1_UPCZDC1n_Th3_XOR_MinimumBiasHF1_AsymXOR_SameSide_BptxAND,1
270,L1_UPCZDC1n_Th1_XOR_MinimumBiasHF2_XOR_SameSide_BptxAND,1
271,L1_UPCZDC1n_Th2_XOR_MinimumBiasHF2_XOR_SameSide_BptxAND,1
272,L1_UPCZDC1n_Th3_XOR_MinimumBiasHF2_XOR_SameSide_BptxAND,1
273,L1_UPCZDC1n_Th1_AsymXOR_MinimumBiasHF1_AND_BptxAND,1
274,L1_UPCZDC1n_Th2_AsymXOR_MinimumBiasHF1_AND_BptxAND,1
275,L1_UPCZDC1n_Th3_AsymXOR_MinimumBiasHF1_AND_BptxAND,1
276,L1_UPCZDC1n_Th4_AsymXOR_MinimumBiasHF1_AND_BptxAND,1
277,L1_UPCZDC1n_Th1_AsymXOR_MinimumBiasHF2_AND_BptxAND,1
278,L1_UPCZDC1n_Th2_AsymXOR_MinimumBiasHF2_AND_BptxAND,1
279,L1_UPCZDC1n_Th3_AsymXOR_MinimumBiasHF2_AND_BptxAND,1
280,L1_UPCZDC1n_Th4_AsymXOR_MinimumBiasHF2_AND_BptxAND,1
281,L1_Centrality_0_0p5_BptxAND,1
282,L1_Centrality_0_1_BptxAND,1
283,L1_Centrality_30_40_BptxAND,1
284,L1_Centrality_30_50_BptxAND,1
285,L1_Centrality_40_50_BptxAND,1
286,L1_Centrality_50_65_BptxAND,1
287,L1_Centrality_65_80_BptxAND,1
288,L1_Centrality_80_100_BptxAND,1
289,L1_Centrality_Saturation_BptxAND,1
290,L1_SingleEG3_BptxAND,1
291,L1_SingleEG4_BptxAND,1
292,L1_SingleEG5_BptxAND,1
293,L1_SingleEG6_BptxAND,1
294,L1_SingleEG7_BptxAND,1
295,L1_SingleEG8_BptxAND,1
296,L1_SingleEG9_BptxAND,1
297,L1_SingleEG10_BptxAND,1
298,L1_SingleEG12_BptxAND,1
299,L1_SingleEG15_BptxAND,1
300,L1_SingleEG18_BptxAND,1
301,L1_SingleEG21_BptxAND,1
302,L1_SingleEG30_BptxAND,1
303,L1_SingleEG5er2p5_BptxAND,1
304,L1_SingleEG7er2p5_BptxAND,1
305,L1_SingleEG10er2p5_BptxAND,1
306,L1_SingleEG15er2p5_BptxAND,1
307,L1_SingleEG18er2p5_BptxAND,1
308,L1_SingleEG21er2p5_BptxAND,1
309,L1_SingleEG5er2p1_BptxAND,1
310,L1_SingleEG7er2p1_BptxAND,1
311,L1_SingleEG10er2p1_BptxAND,1
312,L1_SingleEG15er2p1_BptxAND,1
313,L1_SingleEG18er2p1_BptxAND,1
314,L1_SingleEG21er2p1_BptxAND,1
315,L1_SingleEG3,1
316,L1_SingleEG4,1
317,L1_SingleEG5,1
318,L1_SingleEG10,1
319,L1_SingleEG15,1
320,L1_SingleEG18,1
321,L1_SingleEG21,1
322,L1_SingleEG24,1
323,L1_SingleEG26,1
324,L1_SingleEG28,1
325,L1_SingleEG30,1
326,L1_SingleEG32,1
327,L1_SingleEG34,1
328,L1_SingleEG36,1
329,L1_SingleEG38,1
330,L1_SingleEG40,1
331,L1_SingleEG42,1
332,L1_SingleEG45,1
333,L1_SingleEG50,1
334,L1_SingleEG60,1
335,L1_SingleEG8er2p5,1
336,L1_SingleEG10er2p5,1
337,L1_SingleEG15er2p5,1
338,L1_SingleEG26er2p5,1
339,L1_SingleEG34er2p5,1
340,L1_SingleEG36er2p5,1
341,L1_SingleEG38er2p5,1
342,L1_SingleEG40er2p5,1
343,L1_SingleEG42er2p5,1
344,L1_SingleEG45er2p5,1
345,L1_SingleIsoEG24er2p1,1
346,L1_SingleIsoEG26er2p1,1
347,L1_SingleIsoEG28er2p1,1
348,L1_SingleIsoEG30er2p1,1
349,L1_SingleIsoEG32er2p1,1
350,L1_SingleIsoEG26er2p5,1
351,L1_SingleIsoEG28er2p5,1
352,L1_SingleIsoEG30er2p5,1
353,L1_SingleIsoEG32er2p5,1
354,L1_SingleIsoEG34er2p5,1
355,L1_DoubleEG2_BptxAND,1
356,L1_DoubleEG5_BptxAND,1
357,L1_DoubleEG8_BptxAND,1
358,L1_DoubleEG10_BptxAND,1
359,L1_DoubleEG_22_10_er2p5,1
360,L1_DoubleEG_25_12_er2p5,1
361,L1_DoubleEG_25_14_er2p5,1
362,L1_DoubleLooseIsoEG22er2p1,1
363,L1_DoubleLooseIsoEG24er2p1,1
364,L1_TripleEG_18_17_8_er2p5,1
365,L1_SingleJet8_BptxAND,1
366,L1_SingleJet16_BptxAND,1
367,L1_SingleJet24_BptxAND,1
368,L1_SingleJet28_BptxAND,1
369,L1_SingleJet32_BptxAND,1
370,L1_SingleJet36_BptxAND,1
371,L1_SingleJet40_BptxAND,1
372,L1_SingleJet44_BptxAND,1
373,L1_SingleJet48_BptxAND,1
374,L1_SingleJet56_BptxAND,1
375,L1_SingleJet60_BptxAND,1
376,L1_SingleJet64_BptxAND,1
377,L1_SingleJet72_BptxAND,1
378,L1_SingleJet80_BptxAND,1
379,L1_SingleJet16_FWD_BptxAND,1
380,L1_SingleJet28_FWD_BptxAND,1
381,L1_SingleJet36_FWD_BptxAND,1
382,L1_SingleJet44_FWD_BptxAND,1
383,L1_SingleJet56_FWD_BptxAND,1
384,L1_SingleJet64_FWD_BptxAND,1
385,L1_SingleJet28_DMeson_BptxAND,1
386,L1_SingleJet44_DMeson_BptxAND,1
387,L1_SingleJet60_DMeson_BptxAND,1
388,L1_SingleJet8erHE,1
389,L1_SingleJet10erHE,1
390,L1_SingleJet12erHE,1
391,L1_SingleJet8,1
392,L1_SingleJet16,1
393,L1_SingleJet24,1
394,L1_SingleJet28,1
395,L1_SingleJet35,1
396,L1_SingleJet60,1
397,L1_SingleJet90,1
398,L1_SingleJet120,1
399,L1_SingleJet180,1
400,L1_SingleJet200,1
401,L1_SingleJet140er2p5,1
402,L1_SingleJet160er2p5,1
403,L1_DoubleJet40er2p5,1
404,L1_DoubleJet100er2p5,1
